,Date,SK㈜,롯데쇼핑,HD현대,서부티앤디,하나금융지주,모두투어,SK디앤디
381,2023-10-19,146438.28125,66525.4296875,59294.5546875,6519.01318359375,42486.4609375,14832.94921875,25372.08984375
382,2023-10-20,142416.859375,65667.65625,58712.28515625,6491.92626953125,42146.5703125,15226.3955078125,25026.5546875
383,2023-10-23,138885.875,66239.5078125,57935.92578125,6500.955078125,41078.33984375,15314.921875,24927.83203125
384,2023-10-24,138983.953125,67669.140625,57644.7890625,6591.24658203125,41029.78125,15511.64453125,25569.537109375
385,2023-10-25,140259.03125,69670.6171875,59003.421875,6726.6826171875,41321.1171875,15275.5771484375,26655.50390625
386,2023-10-26,138101.203125,68526.9140625,57256.609375,6500.955078125,40592.77734375,15472.2998046875,25668.26171875
387,2023-10-27,136826.125,67955.0625,56965.47265625,6591.24658203125,40010.10546875,15600.1708984375,26754.2265625
388,2023-10-30,140651.359375,68622.2265625,57062.51953125,6600.275390625,38504.87109375,15737.876953125,27099.76171875
389,2023-10-31,139278.203125,68717.53125,55703.88671875,6645.4208984375,38067.8671875,15678.859375,27099.76171875
390,2023-11-01,142122.609375,69765.9296875,55800.93359375,6663.47900390625,38456.31640625,15728.041015625,26951.67578125
391,2023-11-02,146045.9375,69575.3125,56577.29296875,6717.65380859375,37873.64453125,15836.23828125,27001.037109375
392,2023-11-03,152519.4375,70147.1640625,57256.609375,6789.88671875,39087.54296875,16042.7978515625,26902.3125
393,2023-11-06,157717.84375,72243.953125,58712.28515625,7042.70166015625,41029.78125,16111.6513671875,26458.0546875
394,2023-11-07,156835.09375,72243.953125,57838.87890625,7024.64306640625,39670.21484375,15944.4365234375,26211.244140625
395,2023-11-08,156835.09375,75579.7578125,57353.65234375,6934.3525390625,39281.76953125,16387.064453125,25717.625
396,2023-11-09,156540.84375,75865.6796875,57450.69921875,6934.3525390625,39330.32421875,16475.58984375,25421.451171875
397,2023-11-10,156540.84375,74054.8125,57353.65234375,6844.0615234375,39621.66015625,16180.5048828125,25174.642578125
398,2023-11-13,152617.515625,73959.5078125,56383.203125,6853.09033203125,39621.66015625,16052.634765625,26063.158203125
399,2023-11-14,155560.015625,74721.9765625,56965.47265625,6907.26513671875,40107.21875,16200.1767578125,25668.26171875
400,2023-11-15,160660.34375,74721.9765625,58421.1484375,7033.67236328125,40689.890625,16160.83203125,26408.693359375
401,2023-11-16,161445.015625,75389.140625,57935.92578125,7087.84716796875,40787.00390625,16377.228515625,26211.244140625
402,2023-11-17,159875.6875,75484.4453125,57547.74609375,6988.52685546875,40398.5546875,16229.685546875,25915.072265625
403,2023-11-20,160562.265625,75484.4453125,58421.1484375,7006.5849609375,40398.5546875,16347.7197265625,26507.416015625
404,2023-11-21,160856.515625,76342.2265625,58421.1484375,7015.6142578125,40689.890625,16337.8837890625,27247.84765625
405,2023-11-22,160366.09375,75960.9921875,59197.51171875,6979.498046875,40592.77734375,16318.2109375,28432.537109375
406,2023-11-23,160169.9375,75865.6796875,59100.46484375,6907.26513671875,41078.33984375,16308.375,29419.77734375
407,2023-11-24,157619.765625,75484.4453125,59100.46484375,6826.0029296875,40544.22265625,16308.375,28926.15625
408,2023-11-27,158698.6875,76914.078125,60362.05078125,6871.1484375,40350.0,15747.712890625,28580.623046875
409,2023-11-28,163406.671875,74817.2890625,59682.73828125,7033.67236328125,40398.5546875,15501.80859375,28383.173828125
410,2023-11-29,161543.09375,73197.0390625,59197.51171875,6618.33349609375,40058.6640625,15305.0849609375,28136.36328125
411,2023-11-30,160464.1875,72911.109375,58518.1953125,6844.0615234375,40447.109375,15246.068359375,27840.19140625
412,2023-12-01,162033.515625,73292.34375,59003.421875,6826.0029296875,40641.3359375,15118.1982421875,30308.294921875
413,2023-12-04,164093.265625,73292.34375,58712.28515625,6771.828125,40495.66796875,15275.5771484375,31690.431640625
414,2023-12-05,165270.265625,73197.0390625,59391.6015625,6681.53759765625,40398.5546875,15098.525390625,32332.138671875
415,2023-12-06,165662.59375,73482.9609375,59003.421875,6753.77001953125,40398.5546875,15432.955078125,32825.7578125
416,2023-12-07,166447.265625,72720.4921875,59391.6015625,6744.7412109375,39961.55078125,15324.7578125,33368.7421875
417,2023-12-08,167526.171875,73292.34375,59488.64453125,6862.119140625,40252.88671875,15580.498046875,33121.9296875
418,2023-12-11,167526.171875,73482.9609375,59003.421875,6871.1484375,40398.5546875,15383.7744140625,31246.173828125
419,2023-12-12,168212.75,73292.34375,59585.69140625,6889.20703125,40884.11328125,15354.2666015625,31295.53515625
420,2023-12-13,168703.171875,73482.9609375,59682.73828125,6934.3525390625,40447.109375,15265.740234375,30258.931640625
421,2023-12-14,170664.84375,73673.578125,59488.64453125,7024.64306640625,40641.3359375,15550.9892578125,28432.537109375
422,2023-12-15,174195.828125,74245.4296875,59294.5546875,6907.26513671875,41709.56640625,15393.6103515625,28333.8125
423,2023-12-18,171155.25,74054.8125,59488.64453125,7051.73046875,41126.89453125,15226.3955078125,28481.8984375
424,2023-12-19,172332.25,74245.4296875,60070.91796875,7033.67236328125,40981.2265625,15364.1025390625,28975.51953125
425,2023-12-20,173803.5,75389.140625,62302.953125,7105.9052734375,41758.12109375,15354.2666015625,29567.86328125
426,2023-12-21,171939.921875,75293.828125,62205.91015625,7169.10888671875,41806.67578125,15147.7060546875,29074.2421875
